"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_add_item_from_dialog[拾獲-拾獲日期-foundDate]","src.tests","2026-08-21","skipped","2026-08-21","TestLostManagement","test_lost_management","",""
"","0","test_claim_change_to_found","src.tests","2026-08-21","skipped","2026-08-21","TestLostManagement","test_lost_management","",""
"","0","test_add_guest_todo_item_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
"","0","test_change_rate_code_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindesk","test_maindesk","",""
"","300006","test_guest_detail_no_info","src.tests","2026-08-21","broken","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","0","test_add_spare_parts_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindesk","test_maindesk","",""
"","0","test_edit_todo_to_completed","src.tests","2026-08-21","skipped","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","0","test_change_to_lost_and_found","src.tests","2026-08-21","skipped","2026-08-21","TestLostManagement","test_lost_management","",""
"","110595","test_create_new_rate_cod[RT]","src.tests","2026-08-21","broken","2026-08-21","TestRateCod","test_rate_cod","",""
"","110538","test_create_bs_rate_cod[DPRat]","src.tests","2026-08-21","broken","2026-08-21","TestRateCod","test_rate_cod","",""
"","0","test_edit_todo_to_incompleted","src.tests","2026-08-21","skipped","2026-08-21","TestGuestDetail","test_guest_detail","",""
